client_code,product,push_notification
1,Карта для путешествий,"Айгерим, вжух-вжух по городу или в поездки? ✈️ Верни часть денег с тревел-картой!"
2,Кредитная карта,"Данияр, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
3,Кредит наличными,"Сабина, бабки нужны срочно? Кредит наличными без залога и справок. Жми! 👉"
4,Премиальная карта,"Тимур, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
5,Кредитная карта,"Камилла, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
6,Премиальная карта,"Аян, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
7,Кредитная карта,"Руслан, ваши топ-категории — Продукты питания, Кафе и рестораны, Косметика и Парфюмерия. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
8,Карта для путешествий,"Мадина, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
9,Карта для путешествий,"Арман, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
10,Премиальная карта,"Карина, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
11,Кредитная карта,"Бауржан, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
12,Карта для путешествий,"Жанар, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
13,Кредитная карта,"Алина, твои топ-категории — Продукты питания, Кафе и рестораны, Едим дома. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
14,Кредитная карта,"Диас, твои топ-категории — Продукты питания, Кафе и рестораны, Едим дома. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
15,Премиальная карта,"Нурия, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
16,Карта для путешествий,"Ерасыл, много поездок/такси в этом месяце? 🚗 С тревел-картой часть расходов вернулась бы кешбэком. Хочешь оформить?"
17,Кредитная карта,"Жанель, твои топ-категории — Продукты питания, Кафе и рестораны, Едим дома. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
18,Премиальная карта,"Санжар, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
19,Кредитная карта,"Азамат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
20,Карта для путешествий,"Анель, вжух-вжух по городу или в поездки? ✈️ Верни часть денег с тревел-картой!"
21,Кредитная карта,"Павел, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
22,Обмен валют,"Аружан, нужен бакс или евро? В приложении выгодно и без заморочек. 👇"
23,Кредитная карта,"Темирлан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
24,Карта для путешествий,"Гульмира, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
25,Кредитная карта,"Адиль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
26,Карта для путешествий,"Маржан, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
27,Кредит наличными,"Нурсултан, нужна доп сумма? 💸 Оформи кредит наличными быстро и без геморра!"
28,Кредитная карта,"Алтынай, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
29,Карта для путешествий,"Сая, вжух-вжух по городу или в поездки? ✈️ Верни часть денег с тревел-картой!"
30,Премиальная карта,"Ербол, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
31,Кредитная карта,"Дамир, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
32,Премиальная карта,"Алия, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
33,Карта для путешествий,"Мерей, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
34,Кредит наличными,"Инкар, нужна дополнительная сумма? Оформите кредит наличными быстро и просто без залога и справок. Оформить кредит."
35,Премиальная карта,"Самат, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
36,Кредитная карта,"Назым, твои топ-категории — Продукты питания, Кафе и рестораны, Такси. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
37,Карта для путешествий,"Гульнар, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
38,Премиальная карта,"Серик, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
39,Карта для путешествий,"Ляззат, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
40,Кредитная карта,"Асхат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
41,Премиальная карта,"Сандугаш, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
42,Кредитная карта,"Рустем, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
43,Кредитная карта,"Нуртас, твои топ-категории — Продукты питания, Кафе и рестораны, Такси. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
45,Кредитная карта,"Диана, залипаешь в Ремонт дома или Ювелирные украшения? Кредитка вернет часть денег + рассрочка есть! 😎"
46,Премиальная карта,"Арсен, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
47,Премиальная карта,"Камшат, баланс в плюсе и ценишь комфорт? Премиум-карта для тебя. 😉"
48,Кредит наличными,"Ержан, нужна дополнительная сумма? Оформите кредит наличными быстро и просто без залога и справок. Оформить кредит."
49,Кредитная карта,"Амина, твои топ-категории — Продукты питания, Кафе и рестораны, Такси. 🔥 Кредитка даст до 10% кешбэка и на онлайн-сервисы!"
50,Кредитная карта,"Тимурлан, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
51,Карта для путешествий,"Жанат, в этом месяце у вас много поездок/такси. С тревел-картой часть расходов вернулась бы кешбэком. Хотите оформить?"
52,Премиальная карта,"Милана, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
53,Карта для путешествий,"Расул, много поездок/такси в этом месяце? 🚗 С тревел-картой часть расходов вернулась бы кешбэком. Хочешь оформить?"
54,Премиальная карта,"Виктория, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
55,Кредитная карта,"Асель, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
56,Премиальная карта,"Нуркен, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
57,Премиальная карта,"Жания, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
58,Премиальная карта,"Султан, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
59,Премиальная карта,"Динара, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
60,Кредитная карта,"Ермек, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
